"index","id","user","datetime","text","lat","lon","klass","language","misoginia"
1,9.13814728027333E+017,"julietalitzel","2017-09-29T17:16:23.000Z","Hay que salirnos de la clase  de francés @1617Fernanda  te amooooo tia loca",19.0322295,-98.1542665,"positivo","Español","{'loca': 1}"
2,9.13921013951295E+017,"klaukastro","2017-09-30T00:18:44.000Z","Quiero a la vieja Siri de regreso 😫😫😫 https://t.co/OCmhpNQE3D",19.318697,-99.3055805,"negativo","Español","{'vieja': 1}"
3,9.14173401761161E+017,"sannthi","2017-09-30T17:01:38.000Z","Emprendiendo una nueva aventura ... #playaDelCarmen #LetsGo",20.75001,-100.09964,"positivo","Español","{'aventura': 1}"
4,9.14072278249255E+017,"trendinaliaMX","2017-09-30T10:19:48.000Z","⒍ #SabadoDeGanarSeguidores ⒎ Ferrari ⒏ Lewis Hamilton ⒐ Force India ⒑ Sergio Pérez  2017/9/30 05:15 CDT #trndnl https://t.co/IN7801UqsL",19.4319,-99.1329,"neutro","Español","{'India': 1}"
5,9.1419889632632E+017,"OLENKA666","2017-09-30T18:42:56.000Z","Detrás de una gran mujer, hay una amiga loca que la anima constantemente ❤️   🇲🇽 &amp; 🇵🇪… https://t.co/hasBzRUMZ4",19.6915092,-101.1500626,"positivo","Español","{'loca': 1}"
6,9.13904383108067E+017,"JorgeJuarezRey6","2017-09-29T23:12:39.000Z","Tienes buenas nalgas un culito amiga https://t.co/SUZWTjcJ6o",19.432836,-99.153366,"positivo","Español","{'culito': 1}"
7,9.14245996007252E+017,"Andeemord","2017-09-30T21:50:05.000Z","Tenía un buen amigo hasta que la loca de su novia le pidió que me bloquera 😐",19.0322295,-98.1542665,"negativo","Español","{'loca': 1}"
8,9.13827205402075E+017,"UlisesR22","2017-09-29T18:05:58.000Z","McDonalds y Coca Cola? #IntentaExplicarlo cómo algo sano",20.6970525,-105.1485805,"neutro","Español","{'Cola': 1}"
9,9.13923781697135E+017,"aguilaha13","2017-09-30T00:29:44.000Z","Estoy en un graan dilema, no sé si ver Club de Cuervos o hacer la puta tarea de redacción :(",25.6417185,-100.2935915,"negativo","Español","{'puta': 1}"
10,9.13876229203231E+017,"La_War","2017-09-29T21:20:46.000Z","Cualquiera diría que estoy enamorada del agua que me paso mirando a ver si se está moviendo como siento que se mueve la tierra.",19.432836,-99.153366,"positivo","Español","{'Cualquiera': 1}"
11,9.13911446194479E+017,"lizethil_","2017-09-29T23:40:43.000Z","Se pone caliente cuando empieza a participar en cálculo 🎶",24.6624885,-107.3420565,"negativo","Español","{'caliente': 1}"
12,9.13835503073469E+017,"buches_LFC","2017-09-29T18:38:56.000Z","Pizza, buebo, tacos, chilaquiles y café llevan lo que se les de su puta gana.   La vida es un riesgo homie.",25.778679,-100.1687175,"positivo","Español","{'puta': 1}"
13,9.13982516670947E+017,"romluisaf","2017-09-30T04:23:07.000Z","Pinche chamaca pendeja, no vales ni la mitad de lo que vale el",27.7136525,-109.84179,"negativo","Español","{'pendeja': 1}"
14,9.14173179756761E+017,"anaglz13","2017-09-30T17:00:45.000Z","Uta si tú eres pendeja por 3 veces no me imagino que soy yo https://t.co/oL5QCkeB9R",22.270295,-97.916772,"negativo","Español","{'pendeja': 1}"
15,9.1389902127353E+017,"TavizonM","2017-09-29T22:51:20.000Z","Empezando la aventura en Adobe Guadalupe. Qué maravilla.  #mexico🇲🇽 #fuerzamexico… https://t.co/bKe6qtXmT0",32.08566373,-116.62288444,"positivo","Español","{'aventura': 1}"
16,9.10253667156152E+017,"sarahproencaa","2017-09-19T21:26:00.000Z","Eu tô cagada de nervosismos mandar ou não mandar aí Jesus",30.937336,-91.4010085,"negativo","Español","{'cagada': 1}"
17,9.13958783956787E+017,"Pene_Trador1","2017-09-30T02:48:49.000Z","@Milenio pero quien carlos marrano.... un chayotero mas del sistema, una mierda mas pseudo periodista. vendido como puta.",25.5016255,-108.5232665,"negativo","Español","{'puta': 1}"
18,9.13986091677622E+017,"Vane_AlvzMayo","2017-09-30T04:37:19.000Z","¡Ay que más quisieras poder encontrar otra loca como yo que te quiera!",18.0219595,-92.9164995,"positivo","Español","{'loca': 1}"
19,9.1420281258981E+017,"LDanielRV","2017-09-30T18:58:30.000Z","Muchas felicidades a mi querida UASLP, no hay honor más grande que haber estudiado en @LaUASLP   Siempre Autónoma,… https://t.co/5XxoUPR0F7",22.3111195,-100.955511,"positivo","Español","{'querida': 1}"
20,9.13839164549943E+017,"BriaanBorrego","2017-09-29T18:53:29.000Z","He vivido una vida loca loco  y me arrepiento tanto",28.9698625,-111.498181,"positivo","Español","{'loca': 1}"
21,9.14037326392816E+017,"Jovs_8a","2017-09-30T08:00:55.000Z","No vuelo a comer una puta sopa maruchan en mi vida 🙄",18.6963925,-98.9623185,"negativo","Español","{'puta': 1}"
22,9.14261669336949E+017,"uriarte_caro","2017-09-30T22:52:22.000Z","Se supone que iba a cuidarme para no enfermarme de gripa, pero una excursión loca apareció y me empapó y enlodó :c",20.1056375,-98.775808,"negativo","Español","{'loca': 1}"
23,9.14071676274512E+017,"andreaangulot","2017-09-30T10:17:24.000Z","- Ayyy, que rico huele a tortilla - Si ¿Verdad? Han de estar haciendo  Grecia Humbert. Vive atrás de las Tostaditas Blancas.",23.46814,-106.2717475,"positivo","Español","{'tortilla': 1}"
24,9.1419492217285E+017,"Leonneltoledo","2017-09-30T18:27:09.000Z","Bien dice el sabio refrán:  Se atrapan más moscas con una gota de miel, que enseñando el pene en todas las fotos y siendo bien “perra”.",24.6624885,-107.3420565,"positivo","Español","{'perra': 1}"
25,9.14187944776348E+017,"scooberto80","2017-09-30T17:59:25.000Z","Me queda claro que el dinero no hace la educación, pinche gente gata y prepotente. Mucho Puto dinero pero con mierda en la cabeza.",19.328383,-99.15234,"negativo","Español","{'gata': 1}"
